Trace1				Trace2			
Freq		Amp		Freq		Amp	
21942624	Hz	-85.68	 dBm	21942624	Hz	-85.78	 dBm
21942957	Hz	-85.35	 dBm	21942957	Hz	-85.63	 dBm
21943290	Hz	-85.16	 dBm	21943290	Hz	-85.92	 dBm
21943623	Hz	-85.07	 dBm	21943623	Hz	-86.1	 dBm
21943956	Hz	-84.93	 dBm	21943956	Hz	-86.03	 dBm
21944289	Hz	-85.14	 dBm	21944289	Hz	-85.78	 dBm
21944622	Hz	-85.15	 dBm	21944622	Hz	-85.32	 dBm
21944955	Hz	-85.06	 dBm	21944955	Hz	-85.14	 dBm
21945288	Hz	-84.93	 dBm	21945288	Hz	-85.44	 dBm
21945621	Hz	-84.97	 dBm	21945621	Hz	-85.61	 dBm
21945954	Hz	-85.05	 dBm	21945954	Hz	-85.76	 dBm
21946287	Hz	-85.26	 dBm	21946287	Hz	-85.83	 dBm
21946620	Hz	-85.35	 dBm	21946620	Hz	-85.5	 dBm
21946953	Hz	-85.18	 dBm	21946953	Hz	-85.07	 dBm
21947286	Hz	-85.23	 dBm	21947286	Hz	-85.13	 dBm
21947619	Hz	-85.26	 dBm	21947619	Hz	-85.41	 dBm
21947952	Hz	-85.5	 dBm	21947952	Hz	-85.73	 dBm
21948285	Hz	-85.66	 dBm	21948285	Hz	-86	 dBm
21948618	Hz	-85.59	 dBm	21948618	Hz	-86.23	 dBm
21948951	Hz	-85.15	 dBm	21948951	Hz	-86.03	 dBm
21949284	Hz	-85.12	 dBm	21949284	Hz	-85.44	 dBm
21949617	Hz	-85.21	 dBm	21949617	Hz	-85.19	 dBm
21949950	Hz	-84.93	 dBm	21949950	Hz	-85.5	 dBm
21950283	Hz	-84.6	 dBm	21950283	Hz	-85.87	 dBm
21950616	Hz	-84.91	 dBm	21950616	Hz	-86.21	 dBm
21950949	Hz	-85.41	 dBm	21950949	Hz	-86.04	 dBm
21951282	Hz	-85.54	 dBm	21951282	Hz	-85.8	 dBm
21951615	Hz	-85.34	 dBm	21951615	Hz	-85.71	 dBm
21951948	Hz	-84.74	 dBm	21951948	Hz	-86.02	 dBm
21952281	Hz	-84.19	 dBm	21952281	Hz	-86.16	 dBm
21952614	Hz	-84.25	 dBm	21952614	Hz	-85.86	 dBm
21952947	Hz	-84.61	 dBm	21952947	Hz	-85.44	 dBm
21953280	Hz	-84.75	 dBm	21953280	Hz	-85.72	 dBm
21953613	Hz	-84.91	 dBm	21953613	Hz	-85.94	 dBm
21953946	Hz	-84.89	 dBm	21953946	Hz	-85.89	 dBm
21954279	Hz	-85.01	 dBm	21954279	Hz	-85.61	 dBm
21954612	Hz	-84.88	 dBm	21954612	Hz	-85.5	 dBm
21954945	Hz	-84.85	 dBm	21954945	Hz	-85.54	 dBm
21955278	Hz	-84.82	 dBm	21955278	Hz	-85.58	 dBm
21955611	Hz	-84.71	 dBm	21955611	Hz	-85.63	 dBm
21955944	Hz	-84.61	 dBm	21955944	Hz	-85.6	 dBm
21956277	Hz	-84.79	 dBm	21956277	Hz	-85.24	 dBm
21956610	Hz	-85.05	 dBm	21956610	Hz	-84.9	 dBm
21956943	Hz	-85.28	 dBm	21956943	Hz	-84.8	 dBm
21957276	Hz	-85.54	 dBm	21957276	Hz	-84.83	 dBm
21957609	Hz	-85.68	 dBm	21957609	Hz	-84.78	 dBm
21957942	Hz	-85.69	 dBm	21957942	Hz	-84.62	 dBm
21958275	Hz	-85.71	 dBm	21958275	Hz	-84.59	 dBm
21958608	Hz	-85.52	 dBm	21958608	Hz	-84.63	 dBm
21958941	Hz	-84.93	 dBm	21958941	Hz	-84.69	 dBm
21959274	Hz	-84.7	 dBm	21959274	Hz	-84.87	 dBm
21959607	Hz	-84.63	 dBm	21959607	Hz	-85.22	 dBm
21959940	Hz	-84.88	 dBm	21959940	Hz	-85.42	 dBm
