Virgo A Observation:
Column 1: Frequency (Hz) - Trace 1 (on target)
Column 2: Amplitude (dBm) - Trace 1 (on target)
Column 3: Frequency (Hz) - Trace 2 (off target)
Column 4: Amplitude (dBm) - Trace 2 (off target)
Trace1				Trace2			
Freq		Amp		Freq		Amp	
22059840		-84.79	 	22059840		-85.33	 
22060173		-84.93	 	22060173		-85.03	 
22060506		-85.2	 	22060506		-85.05	 
22060839		-85.34	 	22060839		-85.07	 
22061172		-85.7	 	22061172		-85.27	 
22061505		-85.86	 	22061505		-85.5	 
22061838		-85.74	 	22061838		-85.64	 
22062171		-85.36	 	22062171		-85.68	 
22062504		-84.86	 	22062504		-85.57	 
22062837		-84.76	 	22062837		-85.42	 
22063170		-85.14	 	22063170		-85.39	 
22063503		-85.42	 	22063503		-85.5	 
22063836		-85.24	 	22063836		-85.45	 
22064169		-84.86	 	22064169		-85.06	 
22064502		-84.5	 	22064502		-84.74	 
22064835		-84.32	 	22064835		-84.38	 
22065168		-84.34	 	22065168		-84.31	 
22065501		-84.54	 	22065501		-84.28	 
22065834		-84.83	 	22065834		-84.24	 
22066167		-85.09	 	22066167		-84.25	 
22066500		-85.1	 	22066500		-84.47	 
22066833		-84.69	 	22066833		-84.96	 
22067166		-84.16	 	22067166		-85.57	 
22067499		-84.15	 	22067499		-86.16	 
22067832		-84.46	 	22067832		-86.25	 
22068165		-84.72	 	22068165		-85.84	 
22068498		-84.83	 	22068498		-85.08	 
22068831		-84.99	 	22068831		-84.1	 
22069164		-84.89	 	22069164		-84.17	 
22069497		-85	 	22069497		-84.48	 
22069830		-85.07	 	22069830		-84.82	 
22070163		-85.03	 	22070163		-85.17	 
22070496		-84.95	 	22070496		-85.02	 
22070829		-84.59	 	22070829		-84.68	 
22071162		-84.38	 	22071162		-84.69	 
22071495		-84.7	 	22071495		-84.98	 
22071828		-84.78	 	22071828		-85.1	 
22072161		-85.12	 	22072161		-85.22	 
22072494		-85.54	 	22072494		-85.63	 
22072827		-85.78	 	22072827		-85.96	 
22073160		-85.62	 	22073160		-85.9	 
22073493		-85.38	 	22073493		-85.89	 
22073826		-85.44	 	22073826		-86.16	 
22074159		-85.64	 	22074159		-85.93	 
22074492		-85.59	 	22074492		-85.28	 
22074825		-85.24	 	22074825		-85.11	 
22075158		-84.97	 	22075158		-85.52	 
22075491		-84.72	 	22075491		-85.6	 
22075824		-84.78	 	22075824		-85.44	 
22076157		-85.11	 	22076157		-85.08	 
22076490		-85.31	 	22076490		-85.17	 
22076823		-85.24	 	22076823		-85.44	 
22077156		-84.96	 	22077156		-85.44	 
22077489		-84.93	 	22077489		-85.16	 
22077822		-85.02	 	22077822		-85.12	 
22078155		-85.25	 	22078155		-85.51	 
22078488		-85.51	 	22078488		-85.87	 
22078821		-85.43	 	22078821		-85.83	 
22079154		-85.59	 	22079154		-85.98	 
22079487		-86.14	 	22079487		-86.25	 
22079820		-86.38	 	22079820		-86.37	 
22080153		-86.26	 	22080153		-86.01	 
22080486		-85.63	 	22080486		-85.73	 
22080819		-84.59	 	22080819		-85.63	 
22081152		-84.03	 	22081152		-85.69	 
22081485		-84.28	 	22081485		-85.71	 
22081818		-84.61	 	22081818		-85.6	 
22082151		-84.94	 	22082151		-85.12	 
22082484		-85.18	 	22082484		-84.61	 
22082817		-85.49	 	22082817		-84.41	 
22083150		-85.67	 	22083150		-84.6	 
22083483		-85.52	 	22083483		-84.7	 
22083816		-85.22	 	22083816		-84.69	 
22084149		-84.96	 	22084149		-84.96	 
22084482		-84.7	 	22084482		-85.05	 
22084815		-84.66	 	22084815		-84.93	 
22085148		-84.95	 	22085148		-85.04	 
22085481		-85.19	 	22085481		-85.12	 
22085814		-85.25	 	22085814		-85.18	 
22086147		-85.38	 	22086147		-85.5	 
22086480		-85.41	 	22086480		-85.5	 
22086813		-85.44	 	22086813		-85.33	 
22087146		-85.72	 	22087146		-85.31	 
22087479		-85.59	 	22087479		-85.37	 
22087812		-85.2	 	22087812		-85.41	 
22088145		-84.97	 	22088145		-85.35	 
22088478		-84.98	 	22088478		-85.08	 
22088811		-85.16	 	22088811		-84.87	 
22089144		-85.12	 	22089144		-85.15	 
22089477		-85.05	 	22089477		-85.3	 
22089810		-84.95	 	22089810		-85.06	 
22090143		-85.07	 	22090143		-84.77	 
22090476		-85.36	 	22090476		-84.71	 
22090809		-85.45	 	22090809		-85.17	 
22091142		-85.25	 	22091142		-85.64	 
22091475		-85.46	 	22091475		-85.77	 
22091808		-85.79	 	22091808		-85.63	 
22092141		-85.77	 	22092141		-85.45	 
22092474		-85.81	 	22092474		-85.28	 
22092807		-85.72	 	22092807		-85.21	 
22093140		-85.48	 	22093140		-85.24	 
22093473		-85.06	 	22093473		-85.28	 
22093806		-84.86	 	22093806		-85.41	 
22094139		-85.06	 	22094139		-85.76	 
22094472		-85.32	 	22094472		-85.58	 
22094805		-85.42	 	22094805		-85.33	 
22095138		-85.69	 	22095138		-85.35	 
22095471		-85.69	 	22095471		-85.24	 
22095804		-85.28	 	22095804		-85.09	 
22096137		-85.11	 	22096137		-85.25	 
22096470		-85.12	 	22096470		-85.6	 
22096803		-85.1	 	22096803		-85.48	 
22097136		-85.14	 	22097136		-85.34	 
22097469		-85.2	 	22097469		-85.34	 
22097802		-85.16	 	22097802		-85.13	 
22098135		-85.06	 	22098135		-84.73	 
22098468		-85.04	 	22098468		-84.63	 
22098801		-85.29	 	22098801		-84.94	 
22099134		-85.4	 	22099134		-85.3	 
22099467		-85.25	 	22099467		-85.31	 
22099800		-85.07	 	22099800		-85.26	 
